"movie","year_of_award","avg_vote","genre","duration","country","period","count","sumMovies"
"Tender Mercies",1984,7.4,"Drama",92,"USA","1981 - 1997",5,1755
"Tender Mercies",1984,7.4,"Music",92,"USA","1981 - 1997",1,26
"The Accidental Tourist",1989,6.8,"Drama",121,"USA","1981 - 1997",4,1755
"The Accidental Tourist",1989,6.8,"Romance",121,"USA","1981 - 1997",1,336
"The Accused",1989,7.1,"Crime",111,"Canada, USA","1981 - 1997",2,126
"The Accused",1989,7.1,"Drama",111,"Canada, USA","1981 - 1997",4,1755
"The Apartment",1961,8.3,"Comedy",125,"USA","1947 - 1963",1,161
"The Apartment",1961,8.3,"Drama",125,"USA","1947 - 1963",5,1755
"The Apartment",1961,8.3,"Romance",125,"USA","1947 - 1963",1,336
"The Artist",2012,7.9,"Comedy",100,"France, Belgium, USA","1998 - 2014",3,161
"The Artist",2012,7.9,"Drama",100,"France, Belgium, USA","1998 - 2014",5,1755
"The Artist",2012,7.9,"Romance",100,"France, Belgium, USA","1998 - 2014",3,336
"The Aviator",2005,7.5,"Biography",170,"Germany, USA","1998 - 2014",2,147
"The Aviator",2005,7.5,"Drama",170,"Germany, USA","1998 - 2014",5,1755
"The Awful Truth",1938,7.7,"Comedy",90,"USA","1930 - 1946",1,161
"The Awful Truth",1938,7.7,"Romance",90,"USA","1930 - 1946",2,336
"The Bad And The Beautiful",1953,7.8,"Drama",118,"USA","1947 - 1963",5,1755
"The Bad And The Beautiful",1953,7.8,"Romance",118,"USA","1947 - 1963",3,336
"The Barefoot Contessa",1955,7,"Crime",128,"Italy, USA","1947 - 1963",4,126
"The Barefoot Contessa",1955,7,"Drama",128,"Italy, USA","1947 - 1963",5,1755
"The Barefoot Contessa",1955,7,"Mystery",128,"Italy, USA","1947 - 1963",1,16
"The Best Years Of Our Lives",1947,8,"Drama",170,"USA","1947 - 1963",5,1755
"The Best Years Of Our Lives",1947,8,"Romance",170,"USA","1947 - 1963",5,336
"The Best Years Of Our Lives",1947,8,"War",170,"USA","1947 - 1963",3,83
"The Big Country",1959,7.9,"Romance",166,"USA","1947 - 1963",4,336
"The Big Country",1959,7.9,"Western",166,"USA","1947 - 1963",1,25
"The Blind Side",2010,7.6,"Biography",129,"USA","1998 - 2014",1,147
"The Blind Side",2010,7.6,"Drama",129,"USA","1998 - 2014",5,1755
"The Blind Side",2010,7.6,"Sport",129,"USA","1998 - 2014",1,21
"The Bridge On The River Kwai",1958,8.1,"Adventure",161,"UK, USA","1947 - 1963",2,38
"The Bridge On The River Kwai",1958,8.1,"Drama",161,"UK, USA","1947 - 1963",5,1755
"The Bridge On The River Kwai",1958,8.1,"War",161,"UK, USA","1947 - 1963",2,83
"The Champ",1932,7.3,"Drama",86,"USA","1930 - 1946",3,1755
"The Champ",1932,7.3,"Sport",86,"USA","1930 - 1946",1,21
"The Cider House Rules",2000,7.4,"Drama",126,"USA","1998 - 2014",5,1755
"The Cider House Rules",2000,7.4,"Romance",126,"USA","1998 - 2014",1,336
"The Color Of Money",1987,7,"Drama",119,"USA","1981 - 1997",5,1755
"The Color Of Money",1987,7,"Sport",119,"USA","1981 - 1997",1,21
"The Constant Gardener",2006,7.4,"Drama",129,"UK, Germany, USA, China, Kenya","1998 - 2014",5,1755
"The Constant Gardener",2006,7.4,"Mystery",129,"UK, Germany, USA, China, Kenya","1998 - 2014",1,16
"The Constant Gardener",2006,7.4,"Romance",129,"UK, Germany, USA, China, Kenya","1998 - 2014",2,336
"The Country Girl",1955,7.3,"Drama",104,"USA","1947 - 1963",5,1755
"The Country Girl",1955,7.3,"Music",104,"USA","1947 - 1963",1,26
"The Dark Knight",2009,9,"Action",152,"USA, UK","1998 - 2014",1,11
"The Dark Knight",2009,9,"Crime",152,"USA, UK","1998 - 2014",1,126
"The Dark Knight",2009,9,"Drama",152,"USA, UK","1998 - 2014",5,1755
"The Deer Hunter",1979,8.1,"Drama",183,"USA","1964 - 1980",5,1755
"The Deer Hunter",1979,8.1,"War",183,"USA","1964 - 1980",4,83
"The Departed",2007,8.5,"Crime",151,"USA","1998 - 2014",1,126
"The Departed",2007,8.5,"Drama",151,"USA","1998 - 2014",5,1755
"The Departed",2007,8.5,"Thriller",151,"USA","1998 - 2014",1,41
"The Diary Of Anne Frank",1960,7.4,"Biography",180,"USA","1947 - 1963",1,147
"The Diary Of Anne Frank",1960,7.4,"Drama",180,"USA","1947 - 1963",5,1755
"The Diary Of Anne Frank",1960,7.4,"Family",180,"USA","1947 - 1963",1,20
"The Divine Lady",1930,6.3,"Drama",99,"USA","1930 - 1946",2,1755
"The Divine Lady",1930,6.3,"History",99,"USA","1930 - 1946",1,80
"The Divine Lady",1930,6.3,"Romance",99,"USA","1930 - 1946",3,336
"The Divorcee",1930,6.8,"Romance",84,"USA","1930 - 1946",3,336
"The Divorcee",1930,6.8,"Drama",84,"USA","1930 - 1946",2,1755
"The English Patient",1997,7.4,"Drama",162,"USA, UK","1981 - 1997",5,1755
"The English Patient",1997,7.4,"Romance",162,"USA, UK","1981 - 1997",3,336
"The English Patient",1997,7.4,"War",162,"USA, UK","1981 - 1997",2,83
"The Farmer's Daughter",1948,7.2,"Comedy",97,"USA","1947 - 1963",2,161
"The Farmer's Daughter",1948,7.2,"Drama",97,"USA","1947 - 1963",5,1755
"The Farmer's Daughter",1948,7.2,"Romance",97,"USA","1947 - 1963",3,336
"The Fighter",2011,7.8,"Biography",116,"USA","1998 - 2014",4,147
"The Fighter",2011,7.8,"Drama",116,"USA","1998 - 2014",5,1755
"The Fighter",2011,7.8,"Sport",116,"USA","1998 - 2014",2,21
"The Fisher King",1992,7.5,"Comedy",137,"USA","1981 - 1997",2,161
"The Fisher King",1992,7.5,"Drama",137,"USA","1981 - 1997",4,1755
"The Fisher King",1992,7.5,"Fantasy",137,"USA","1981 - 1997",1,7
"The Fortune Cookie",1967,7.3,"Comedy",125,"USA","1964 - 1980",1,161
"The Fortune Cookie",1967,7.3,"Romance",125,"USA","1964 - 1980",1,336
"The French Connection",1972,7.7,"Action",104,"USA","1964 - 1980",2,11
"The French Connection",1972,7.7,"Crime",104,"USA","1964 - 1980",3,126
"The French Connection",1972,7.7,"Drama",104,"USA","1964 - 1980",4,1755
"The Fugitive",1994,7.8,"Action",130,"USA","1981 - 1997",1,11
"The Fugitive",1994,7.8,"Crime",130,"USA","1981 - 1997",1,126
"The Fugitive",1994,7.8,"Drama",130,"USA","1981 - 1997",5,1755
"The Godfather",1973,9.2,"Crime",175,"USA","1964 - 1980",1,126
"The Godfather",1973,9.2,"Drama",175,"USA","1964 - 1980",5,1755
"The Good Earth",1938,7.5,"Drama",138,"USA","1930 - 1946",4,1755
"The Good Earth",1938,7.5,"Romance",138,"USA","1930 - 1946",2,336
"The Goodbye Girl",1978,7.4,"Comedy",111,"USA","1964 - 1980",3,161
"The Goodbye Girl",1978,7.4,"Drama",111,"USA","1964 - 1980",3,1755
"The Goodbye Girl",1978,7.4,"Romance",111,"USA","1964 - 1980",3,336
"The Graduate",1968,8,"Comedy",106,"USA","1964 - 1980",2,161
"The Graduate",1968,8,"Drama",106,"USA","1964 - 1980",4,1755
"The Graduate",1968,8,"Romance",106,"USA","1964 - 1980",1,336
"The Grapes Of Wrath",1941,8,"Drama",129,"USA","1930 - 1946",4,1755
"The Grapes Of Wrath",1941,8,"History",129,"USA","1930 - 1946",2,80
"The Great Lie",1942,7.2,"Drama",108,"USA","1930 - 1946",5,1755
"The Great Ziegfeld",1937,6.7,"Biography",176,"USA","1930 - 1946",2,147
"The Great Ziegfeld",1937,6.7,"Drama",176,"USA","1930 - 1946",5,1755
"The Great Ziegfeld",1937,6.7,"Musical",176,"USA","1930 - 1946",1,31
"The Heiress",1950,8.2,"Drama",115,"USA","1947 - 1963",5,1755
"The Heiress",1950,8.2,"Romance",115,"USA","1947 - 1963",2,336
"The Help",2012,8.1,"Drama",146,"USA, India, United Arab Emirates, UK, France, Canada, Germany","1998 - 2014",5,1755
"The Hours",2003,7.5,"Drama",110,"USA, UK, France, Canada, Germany","1998 - 2014",4,1755
"The Hours",2003,7.5,"Romance",110,"USA, UK, France, Canada, Germany","1998 - 2014",1,336
"The Hurt Locker",2010,7.6,"Drama",131,"USA","1998 - 2014",5,1755
"The Hurt Locker",2010,7.6,"Thriller",131,"USA","1998 - 2014",1,41
"The Hurt Locker",2010,7.6,"War",131,"USA","1998 - 2014",2,83
"The Informer",1936,7.5,"Crime",91,"USA","1930 - 1946",2,126
"The Informer",1936,7.5,"Drama",91,"USA","1930 - 1946",3,1755
"The Iron Lady",2012,6.4,"Biography",105,"UK, France","1998 - 2014",1,147
"The Iron Lady",2012,6.4,"Drama",105,"UK, France","1998 - 2014",5,1755
"The Killing Fields",1985,7.8,"Biography",141,"UK","1981 - 1997",3,147
"The Killing Fields",1985,7.8,"Drama",141,"UK","1981 - 1997",5,1755
"The Killing Fields",1985,7.8,"History",141,"UK","1981 - 1997",4,80
"The King And I",1957,7.4,"Biography",133,"USA","1947 - 1963",3,147
"The King And I",1957,7.4,"Drama",133,"USA","1947 - 1963",5,1755
"The King And I",1957,7.4,"Musical",133,"USA","1947 - 1963",1,31
"The King's Speech",2011,8,"Biography",118,"UK, USA, Australia","1998 - 2014",4,147
"The King's Speech",2011,8,"Drama",118,"UK, USA, Australia","1998 - 2014",5,1755
"The King's Speech",2011,8,"History",118,"UK, USA, Australia","1998 - 2014",2,80
"The Last Emperor",1988,7.7,"Biography",163,"UK, Italy, China, France","1981 - 1997",1,147
"The Last Emperor",1988,7.7,"Drama",163,"UK, Italy, China, France","1981 - 1997",5,1755
"The Last Emperor",1988,7.7,"History",163,"UK, Italy, China, France","1981 - 1997",1,80
"The Last King Of Scotland",2007,7.7,"Biography",123,"UK, Germany","1998 - 2014",2,147
"The Last King Of Scotland",2007,7.7,"Drama",123,"UK, Germany","1998 - 2014",5,1755
"The Last King Of Scotland",2007,7.7,"History",123,"UK, Germany","1998 - 2014",2,80
"The Last Picture Show",1972,8,"Drama",118,"USA","1964 - 1980",4,1755
"The Life Of Emile Zola",1938,7.2,"Biography",116,"USA","1930 - 1946",1,147
"The Life Of Emile Zola",1938,7.2,"Drama",116,"USA","1930 - 1946",4,1755
"The Lost Weekend",1946,7.9,"Drama",101,"USA","1930 - 1946",5,1755
"The Lost Weekend",1946,7.9,"Film-Noir",101,"USA","1930 - 1946",3,16
"The Miracle Worker",1963,8.1,"Biography",106,"USA","1947 - 1963",3,147
"The Miracle Worker",1963,8.1,"Drama",106,"USA","1947 - 1963",5,1755
"The More The Merrier",1944,7.7,"Comedy",104,"USA","1930 - 1946",1,161
"The More The Merrier",1944,7.7,"Romance",104,"USA","1930 - 1946",2,336
